"dataResourceUid","dataResourceName","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","identifier","provenance","rights","source","dcterms:type","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","associatedOccurrences","georeferenceVerificationStatus","recordedByID","recordID","degreeOfEstablishment","locationID","higherGeographyID","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks"
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1641","","","Gordon (1973)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988825","","","","","","","","","","","","PRESENT","","","","","","","","","","","","bca765ab-cbdd-4c9a-b32c-78d9b6dd7571","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#3)","","","","","","","","","","","","-22.37343","146.6928","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","2118","","","Longman (1939)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988388","","","","","","","","","","","","PRESENT","","","","","","","","","","","","2473750d-f565-40e3-89ef-cc22e21c0886","","","","","","","","Australia","AU","Queensland","","","Epping Forest Stn, 75ml W of Clermont","","","","","","","","","","","","-22.3151","146.75529","EPSG:4326","7200.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1274","","","Crossman (1988)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988811","","","","","","","","","","","","PRESENT","","","","","","","","","","","","d9ef3ebd-370c-42d5-90c0-bbebe9930092","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3526","146.70946","EPSG:4326","3500.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","5954","","","Woolnough & Johnson (2000)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3828009","","","","","","","","","","","","PRESENT","","","","","","","","","","","","a282c8c4-b179-4b67-90ba-ecd3f33ba365","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.34843","146.6928","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1641","","","Gordon (1973)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988824","","","","","","","","","","","","PRESENT","","","","","","","","","","","","57161e16-ba74-471d-ba87-f3e9c3645077","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP (#4)","","","","","","","","","","","","-22.37899","146.69835","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1645","","","Gordon et al. (1985)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988930","","","","","","","","","","","","PRESENT","","","","","","","","","","","","c674cf4f-8d1c-4206-bc9e-d16be1b8ba7c","","","","","","","","Australia","AU","Queensland","","","2.1km E of Epping Forest NP","","","","","","","","","","","","-22.32343","146.7428","EPSG:4326","900.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1274","","","Crossman (1988)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988937","","","","","","","","","","","","PRESENT","","","","","","","","","","","","af505ad4-ae6c-498c-aa83-f7c3493dea3e","","","","","","","","Australia","AU","Queensland","","","Ula Ula, 45km E of Warrie","","","","","","","","","","","","-28.00675","149.3928","EPSG:4326","3600.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","2118","","","Longman (1939)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988395","","","","","","","","","","","","PRESENT","","","","","","","","","","","","5868eaf3-94c8-4095-abfd-84020ab3c074","","","","","","","","Australia","AU","Queensland","","","Tambo District","","","","","","","","","","","","-24.88177","146.25116","EPSG:4326","10000.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","6972","","","Horsup (1998)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:3828011","","","","","","","","","","","","PRESENT","","","","","","","","","","","","22c33e55-6ecb-4806-9aa9-f91e4f8155c5","","","","","","","","Australia","AU","Queensland","","","Epping Forest NP","","","","","","","","","","","","-22.3526","146.70946","EPSG:4326","3500.0","","","","","","","","","","","",""
"dr1132","WildNet - Queensland Wildlife Data","","","","CC-BY 4.0 (Int)","","","","","","","1274","","","Crossman (1988)","Queensland Historical Fauna Database","OCCURRENCE","","","","","","","","","urn:catalog:QGov:DES:WildNet:2988934","","","","","","","","","","","","PRESENT","","","","","","","","","","","","81bd749d-2ae7-4ed8-b1e3-2f9c5d1a7a4e","","","","","","","","Australia","AU","Queensland","","","Nr Moonie R, 1km from Chelmer Stn HS","","","","","","","","","","","","-28.21508","148.90531","EPSG:4326","900.0","","","","","","","","","","","",""
